Date,open,high,low,close,adjclose,volume,ingested_at_utc
13-08-2020,107.4000015,110.0786667,104.4840012,108.0666656,108.0666656,306379500,2026-07-29 05:52:48.140356+00:00
14-08-2020,110.9993362,111.253334,108.4426651,110.0473328,110.0473328,188664000,2026-07-29 05:52:48.140356+00:00
17-08-2020,111.8000031,123.0573349,111.5220032,122.3759995,122.3759995,303634500,2026-07-29 05:52:48.140356+00:00
18-08-2020,126.5993347,128.2599945,123.0073318,125.8059998,125.8059998,247117500,2026-07-29 05:52:48.140356+00:00
19-08-2020,124.3333359,127.4000015,122.7473297,125.2353363,125.2353363,183079500,2026-07-29 05:52:48.140356+00:00
20-08-2020,124.0453339,134.7993317,123.8040009,133.4553375,133.4553375,309177000,2026-07-29 05:52:48.140356+00:00
21-08-2020,136.317337,139.6993256,135.0033264,136.665329,136.665329,322344000,2026-07-29 05:52:48.140356+00:00
24-08-2020,141.7519989,141.9333344,128.5013275,134.2799988,134.2799988,300954000,2026-07-29 05:52:48.140356+00:00
25-08-2020,131.6593323,135.1966705,131.1999969,134.889328,134.889328,159883500,2026-07-29 05:52:48.140356+00:00
26-08-2020,137.3333282,144.3999939,136.9086609,143.5446625,143.5446625,213591000,2026-07-29 05:52:48.140356+00:00
27-08-2020,145.3639984,153.0399933,142.8333282,149.25,149.25,355395000,2026-07-29 05:52:48.140356+00:00
28-08-2020,153.0079956,154.5659943,145.7680054,147.5599976,147.5599976,301218000,2026-07-29 05:52:48.140356+00:00
31-08-2020,148.2033386,166.7133331,146.7033386,166.1066742,166.1066742,355123200,2026-07-29 05:52:48.140356+00:00
01-09-2020,167.3800049,167.4966736,156.8366699,158.3500061,158.3500061,269523300,2026-07-29 05:52:48.140356+00:00
02-09-2020,159.6633301,159.6799927,135.0399933,149.1233368,149.1233368,288528300,2026-07-29 05:52:48.140356+00:00
03-09-2020,135.7433319,143.9333344,134.0,135.6666718,135.6666718,262788300,2026-07-29 05:52:48.140356+00:00
04-09-2020,134.2700043,142.6666718,124.0066681,139.4400024,139.4400024,330965700,2026-07-29 05:52:48.140356+00:00
08-09-2020,118.6666641,122.9133301,109.9599991,110.0699997,110.0699997,346397100,2026-07-29 05:52:48.140356+00:00
09-09-2020,118.8666687,123.0,113.8366699,122.0933304,122.0933304,238397400,2026-07-29 05:52:48.140356+00:00
10-09-2020,128.7366638,132.9966736,120.1866684,123.7799988,123.7799988,254791800,2026-07-29 05:52:48.140356+00:00
11-09-2020,127.3133316,127.5,120.1666641,124.2399979,124.2399979,182152500,2026-07-29 05:52:48.140356+00:00
14-09-2020,126.9833298,140.0,124.4333344,139.8733368,139.8733368,249061800,2026-07-29 05:52:48.140356+00:00
15-09-2020,145.5200043,153.9799957,143.5666656,149.9199982,149.9199982,291894600,2026-07-29 05:52:48.140356+00:00
16-09-2020,146.6233368,152.5966644,145.1033325,147.2533264,147.2533264,216837900,2026-07-29 05:52:48.140356+00:00
17-09-2020,138.5333405,145.9299927,136.0,141.1433258,141.1433258,230337600,2026-07-29 05:52:48.140356+00:00
18-09-2020,149.3133392,150.3333282,142.9333344,147.3833313,147.3833313,259220400,2026-07-29 05:52:48.140356+00:00
21-09-2020,151.043335,151.8933258,135.6900024,149.7966614,149.7966614,328430400,2026-07-29 05:52:48.140356+00:00
22-09-2020,143.1999969,145.9199982,139.1999969,141.4100037,141.4100037,238742400,2026-07-29 05:52:48.140356+00:00
23-09-2020,135.0533295,137.3833313,125.293335,126.7866669,126.7866669,285222600,2026-07-29 05:52:48.140356+00:00
24-09-2020,121.2666702,133.1666718,117.0999985,129.2633362,129.2633362,289683300,2026-07-29 05:52:48.140356+00:00
25-09-2020,131.156662,136.2433319,130.4333344,135.7799988,135.7799988,201625500,2026-07-29 05:52:48.140356+00:00
28-09-2020,141.5399933,142.6933289,138.5166626,140.3999939,140.3999939,149158800,2026-07-29 05:52:48.140356+00:00
29-09-2020,138.6666718,142.8333282,137.1999969,139.6900024,139.6900024,150657900,2026-07-29 05:52:48.140356+00:00
30-09-2020,140.4400024,144.6433258,140.156662,143.0033264,143.0033264,144436800,2026-07-29 05:52:48.140356+00:00
01-10-2020,146.9199982,149.6266632,144.8066711,149.386673,149.386673,152224500,2026-07-29 05:52:48.140356+00:00
02-10-2020,140.4633331,146.3766632,138.3333282,138.363327,138.363327,214290000,2026-07-29 05:52:48.140356+00:00
